Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-01-01,189.9998016357422,190.87715534273178,189.0903506676063,189.65743085018167,2963643
2015-01-02,189.49693298339844,191.74381271840838,189.22945580333513,190.04260071522322,7331366
2015-01-05,187.42127990722656,190.64180561024958,187.04679751673595,189.3792702851232,10103941
2015-01-06,178.9152374267578,186.81139240746566,178.03788369901343,186.16943288485805,18627980
2015-01-07,182.80984497070312,183.77279153113093,179.10786025660138,179.12925843418876,20720312
2015-01-08,180.18849182128906,184.65014028561507,179.78191217385094,184.05096276070768,19872227
2015-01-09,184.09373474121094,184.45751798649138,180.8197283871731,181.54728059323858,13392787
2015-01-12,181.95387268066406,184.24354889589054,180.0921885470929,184.13655801772492,10100113
2015-01-13,180.423828125,182.9488838223256,179.85676228725453,182.53160518732582,9948711
2015-01-14,178.66917419433594,181.24772588423613,177.86671400685174,180.39177025551925,11380041
2015-01-15,184.9390106201172,186.40482855783029,179.74980999523677,179.74980999523677,16927085
2015-01-16,186.10523986816406,187.2393717003376,182.32834774405396,184.02954549231427,19136963
2015-01-19,188.2344207763672,189.59323348253545,183.76207355968455,186.21223606415992,13339962
2015-01-20,193.24172973632812,193.77669838636558,188.06321434843136,188.63029454489703,13361320
2015-01-21,194.03347778320312,195.0285214787759,190.8878603857459,193.6590097248124,17084297
2015-01-22,189.1117706298828,194.12978549981565,188.20231962566118,193.69110862891478,23721627
2015-01-23,189.78582763671875,192.11828584647952,187.66735117666227,190.44918534529805,18080494
2015-01-27,190.2458953857422,191.88289856167683,188.41629435796523,191.06973937499922,17939876
2015-01-28,194.05487060546875,194.6861453126213,189.6146209037031,189.6146209037031,19298126
2015-01-29,198.88034057617188,199.97167624126786,194.06560760133866,194.10840395804846,36117653
2015-01-30,195.85238647460938,199.2761945456081,194.51495765255618,199.00870306739893,21746801
2015-02-02,194.31166076660156,196.8474157999274,193.80878939472262,196.0235575345849,19302710
2015-02-03,200.63499450683594,201.3304494012705,195.413683259693,195.413683259693,17092333
2015-02-04,198.75193786621094,201.96175010615312,198.13137645200834,200.95600722349823,14072894
2015-02-05,197.6605682373047,201.1271580029095,196.3552368185314,200.2926149635579,12365643
2015-02-06,194.70755004882812,199.00869747891824,193.23103312750717,197.74617659105456,9045844
2015-02-09,191.88291931152344,196.4408594587449,190.87717644873985,192.8458658213798,8839692
2015-02-10,188.7373046875,193.5520230294048,184.30775352810963,192.1611129679973,13651008
2015-02-11,192.7388458251953,193.60550041005428,188.9512548872894,189.59321436872443,9781008
2015-02-12,194.5470428466797,195.5741837758089,189.86071414308964,194.30096384372987,8709626
2015-02-13,196.3338623046875,197.040016389926,194.52565931328633,195.58489758339235,7393680
2015-02-16,193.18824768066406,197.76758592734356,192.58907018076474,196.59064338814545,12266698
2015-02-18,192.94215393066406,194.30098096364335,191.39074331319028,192.58906974126074,9835036
2015-02-19,193.02772521972656,194.21536671250524,189.92490432901656,194.07626429908387,9550637
2015-02-20,186.8328094482422,191.73313477228302,186.4476279819841,191.57263416205217,18717199
2015-02-23,182.199951171875,187.61384629636035,181.26910203852032,186.15872761812142,14104463
2015-02-24,180.06004333496094,183.34476267200654,179.10781041282075,182.79909501088395,19946218
2015-02-25,180.423828125,183.2805697700421,179.97445223226902,181.63286768635768,15274116
2015-02-26,180.17776489257812,181.88966164130656,179.02222065980368,181.05510429838532,21459750
2015-02-27,183.0773162841797,184.2435597785605,180.73415877596406,181.36541927892418,18659378
2015-03-02,184.9390106201172,187.34637688895236,183.07731213428505,185.95545256868127,14579511
2015-03-03,192.76025390625,193.969279324954,185.613063696691,185.95543448599022,20636925
2015-03-04,189.98912048339844,194.65406572197864,188.320019892744,193.8730037246968,14476047
2015-03-05,189.36854553222656,192.3215793319759,187.9134268069372,190.98415056690584,10716702
2015-03-09,186.0945281982422,190.82366771217244,184.91760000575078,189.40064622299883,14065391
2015-03-10,183.84768676757812,187.41058335865785,183.04522653200704,185.94476532755323,15234060
2015-03-11,183.16290283203125,186.08382507493755,182.40323906798355,184.23284012645408,11635873
2015-03-12,184.84271240234375,185.613075295397,183.08800485955376,183.6015896445869,11782380
2015-03-13,181.91107177734375,186.08383019735746,181.24771406482,185.95544114677145,12936157
2015-03-16,180.1991729736328,182.73492811785326,179.8139915415307,182.21065854911555,13839990
2015-03-17,183.35549926757812,184.00815792038017,179.96378837851435,182.00737132545729,19070082
2015-03-18,185.8805389404297,186.65090177732299,182.8954079453352,183.38758023432382,9269885
2015-03-19,183.20570373535156,187.6031429821561,182.76702686252392,187.35706396918957,13934612
2015-03-20,182.76705932617188,184.2756737879846,181.59011663640047,183.58020440664274,10405717
2015-03-23,180.1670684814453,184.88549441073982,179.34321021313397,183.28058850662916,13251683
2015-03-24,181.45098876953125,182.8098156821211,180.19916701223235,180.19916701223235,9238431
2015-03-25,180.79835510253906,181.78269981857528,179.96379762627,181.6757089330273,10264941
2015-03-26,177.46009826660156,181.72916216894646,176.3473647463417,179.98515400157314,20621346
2015-03-27,173.69395446777344,178.67987241131732,171.50056996544376,178.44447818654436,23326922
2015-03-30,173.49066162109375,174.97787776886372,170.43063661796947,174.74249782300674,17330588
2015-03-31,176.75396728515625,178.23048420828187,175.04205615338952,175.04205615338952,20235395
2015-04-01,178.90452575683594,179.5357861477442,173.99350218572226,176.5185580338501,14588531
2015-04-06,176.4650421142578,179.3217835982556,175.7695872847926,178.89380590147198,12334096
2015-04-07,178.2198028564453,178.91525789512409,176.76468396343517,176.76468396343517,21275454
2015-04-08,185.2920684814453,186.0624170072914,178.2304712861308,178.358860326356,24821205
2015-04-09,191.54052734375,192.37508476493576,183.77277529820066,185.20649592340592,27276420
2015-04-10,193.51991271972656,194.4721600924163,190.25660526974175,191.50842709752723,25323219
2015-04-13,197.40382385253906,197.88529715108666,192.3216136370358,194.04420985190706,20177342
2015-04-15,197.6498565673828,201.06295068269037,194.12975730838565,197.0827764446576,22231264
2015-04-16,198.65560913085938,200.7205899544087,196.65482282603247,197.83175090493256,20177302
2015-04-17,198.33465576171875,202.06873755641382,197.4252046905088,200.08934909007345,23958678
2015-04-20,189.51834106445312,200.6029102446017,187.98832866102612,200.57081298131627,37628162
2015-04-21,187.54962158203125,191.6261019234155,186.69368041440066,190.48125686373822,17707007
2015-04-22,188.25579833984375,189.75371330652916,185.5274455695446,188.71587334482172,14761313
2015-04-23,187.67803955078125,190.32078543125138,185.96612851288523,189.13315821919477,13337818
2015-04-24,188.0739288330078,189.26157047522764,185.88055861673672,187.66736348191137,12709854
2015-04-27,187.30357360839844,189.91422245658853,186.47971527801417,188.32001551936776,11042925
2015-04-28,185.14230346679688,188.73729701561393,183.71928191352632,187.1751873187558,14687371
2015-04-29,181.88967895507812,186.28713262752606,181.33331210166938,184.4575314648479,16387960
2015-04-30,184.5324249267578,185.29208873344288,181.45100191759124,181.88967880413526,34802149
2015-05-04,190.6524658203125,191.2837262118975,184.1365364063222,185.35626084324878,15078502
2015-05-05,190.90927124023438,192.97425238020904,189.40065696560288,191.24095725562034,17846755
2015-05-06,188.36279296875,191.89359158330777,186.59738651922365,190.44917202037573,22438208
2015-05-07,186.3299102783203,187.97761249745054,184.02953519601593,187.23936122445218,16735535
2015-05-08,192.78369140625,193.6612652260249,186.58653415905832,188.73170175009093,17104443
2015-05-11,194.13795471191406,194.89634124164493,191.41856237680594,193.46622481088792,14214007
2015-05-12,188.23333740234375,193.91045385282848,187.46411688590172,193.91045385282848,16650201
2015-05-13,191.7869415283203,192.55617645946668,185.7414588105762,189.24090567753933,16701434
2015-05-14,190.29180908203125,192.02528880195328,188.580011599853,191.9819387909339,12329713
2015-05-15,189.3708953857422,192.1877926328846,188.53667166955964,191.09354117897246,8331715
2015-05-18,193.18455505371094,193.71542999490362,188.99172496056983,189.57676933816288,9847540
2015-05-19,194.05128479003906,196.04477780292075,192.1119612107174,193.11954160387026,14513036
2015-05-20,196.9331817626953,197.3990533812929,194.51715257126492,195.10221141468998,8708891
2015-05-21,194.31130981445312,198.3524655180063,193.7370993195459,197.45322393762726,10759523
2015-05-22,195.84976196289062,196.22896247890162,194.36547602487633,194.36547602487633,8349048
2015-05-25,193.82376098632812,196.74899721981475,193.35788938775943,195.0155174676145,6617337
2015-05-26,191.6785888671875,194.14878732879998,191.26688671284074,193.9320951328168,9510249
2015-05-27,191.83026123046875,193.04369990739778,190.72517588260808,191.9819356409094,8078236
2015-05-28,189.7717742919922,193.76959430839705,188.94836995153776,191.9494434355898,26538868
2015-05-29,190.03179931640625,192.07946178668595,189.1867272140955,190.66017921748605,29277517
2015-06-01,195.5030517578125,196.07727667431817,190.24847213254222,190.68184205932695,19594976
2015-06-02,194.72299194335938,199.0891638182213,193.162868929824,196.26144718439295,20178960
2015-06-03,194.22463989257812,197.2798829353339,192.52367617228163,194.7988503909652,15546279
2015-06-04,197.7674102783203,198.52579681682707,193.40122372899853,195.9255916692109,15931395
2015-06-05,196.69482421875,198.68831721894924,195.97975877137046,197.16069580887057,13066337
2015-06-08,191.8627471923828,197.18234411818426,191.353540105954,196.48894651253653,10846953
2015-06-09,191.48358154296875,192.9895207266513,190.10763453551544,191.45106541832612,9153355
2015-06-10,196.27230834960938,197.1607160745957,191.7652808626073,191.98195861774076,13509379
2015-06-11,190.06430053710938,197.07402780771488,189.3058995312586,196.31562680186408,14676438
2015-06-12,192.81617736816406,193.43372337219535,190.30264334093474,190.46516610528792,21543824
2015-06-15,195.3947296142578,196.09896122972717,192.84869373291542,193.91044363539274,12858570
2015-06-16,195.87144470214844,196.09897081492593,193.5421009211202,194.7988608597588,13929305
2015-06-17,201.77606201171875,204.1920910592102,193.71541890528601,196.10978017945774,26232634
2015-06-18,212.12271118164062,212.7835927265047,202.0577412744451,202.06857516100897,49366799
2015-06-19,215.9580535888672,218.07071962847124,212.89197646651942,212.89197646651942,45710935
2015-06-22,214.8854522705078,218.56907518026225,213.75868460509787,216.02303935867965,19394187
